

163189線路,#genre#
翡翠台,https://o11.163189.xyz/stream/tvb/fct/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
翡翠台廣電,https://cdn6.163189.xyz/163189/fct
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
無線新聞,https://cdn6.163189.xyz/163189/wxxw
now新聞,https://cdn.163189.xyz/163189/now
TVB PLUS,https://o11.163189.xyz/stream/tvb/tvbp/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
TVB PLUS,https://o11.163189.xyz/stream/tvb/tvbp/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
HOY TV,https://cdn.163189.xyz/163189/hoy
HOY國際財經台,https://cdn11.163189.xyz/163189/2c86601a7180416e?u=22ba6bdb66bc7600.1ppS6ra_rbV8qm0JuirUxnAq9GWmCNdvPDd2afF_9J93CHx0nBQEjAJjdt-LBc7fDxBaKJKX5PlTlIRG
HOY資訊台,https://cdn.163189.xyz/163189/hoy78
Viu TV,https://cdn10.163189.xyz/stream/163189/viu/stream_0.php?u=admin&p=c3d37d1929f8dba1644c20f382f4fd943e7f8afcd3dfb92e38bec400c397f3d7&uid=1466358380
Viu TV,https://cdn10.163189.xyz/stream/163189/viu/
Viu Six,https://cdn10.163189.xyz/stream/163189/viu6/stream_0.php?u=admin&p=c3d37d1929f8dba1644c20f382f4fd943e7f8afcd3dfb92e38bec400c397f3d7&uid=3890114683
Viu Six,https://cdn10.163189.xyz/stream/163189/viu6/
RTHK31,https://cdn.163189.xyz/163189/rthk31
RHHK32,https://cdn.163189.xyz/163189/rthk32
鳳凰中文,https://cdn6.163189.xyz/163189/fhzw
鳳凰資訊,https://cdn6.163189.xyz/163189/fhzx
鳳凰香港,https://cdn6.163189.xyz/163189/fhhk
CCTV1港澳版,https://cdn6.163189.xyz/163189/cctv1
CCTV13,https://cdn3.163189.xyz/163189/cctv13
五星體育,https://cdn15.163189.xyz/163189/9c893bb003e1c7de
重溫經典,https://cdn6.163189.xyz/163189/cwjd
廣東珠江,https://cdn2.163189.xyz/163189/gdzj
廣東體育,https://cdn2.163189.xyz/163189/gdty
廣州綜合,https://cdn13.178.indevs.in/163189/b13471c5de99d1c7
廣州新聞,https://cdn13.178.indevs.in/163189/609602b1e1048784
廣州南國都市,https://cdn15.163189.xyz/163189/90871926591ebcbc
澳視澳門,https://cdn6.163189.xyz/163189/asam
澳門衛星,https://cdn6.163189.xyz/163189/as
澳門體育,https://cdn6.163189.xyz/163189/amty
澳門綜藝,https://cdn6.163189.xyz/163189/amzy
澳門蓮花,https://cdn6.163189.xyz/163189/amlh
華麗翡翠台,https://cdn6.163189.xyz/163189/jade
翡翠第一台(TVB1),https://cdn6.163189.xyz/163189/tvb1
TVBJ,https://cdn6.163189.xyz/163189/j1
TVB翡翠劇集台,https://cdn6.163189.xyz/163189/tvbd
TVB亞洲武俠,https://cdn6.163189.xyz/163189/yzwx
TVB娛樂新聞,https://cdn6.163189.xyz/163189/ylxw
TVB星河,https://cdn6.163189.xyz/163189/tvbxh
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB星河,https://cdn10.163189.xyz/stream/163189/xinghe/stream_0.php?u=admin&p=c3d37d1929f8dba1644c20f382f4fd943e7f8afcd3dfb92e38bec400c397f3d7&uid=
TVB星河,https://cdn10.163189.xyz/stream/163189/xinghe/
天映頻道(新加坡),https://cdn10.163189.xyz/stream/163189/typd/stream_0.php?u=admin&p=c3d37d1929f8dba1644c20f382f4fd943e7f8afcd3dfb92e38bec400c397f3d7&uid=4271633213
天映頻道(新加坡),https://cdn10.163189.xyz/stream/163189/typd/
天映經典CCM,https://cdn10.163189.xyz/stream/163189/ccm/stream_0.php?u=admin&p=c3d37d1929f8dba1644c20f382f4fd943e7f8afcd3dfb92e38bec400c397f3d7&uid=3900461401
天映經典CCM,https://cdn10.163189.xyz/stream/163189/ccm/
千祈經典台,https://o11.163189.xyz/stream/live/tvbc/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
千祈經典台,https://o11.163189.xyz/stream/live/tvbc/
天映頻道(香港),https://o11.163189.xyz/stream/live/typd/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
天映頻道(香港),https://o11.163189.xyz/stream/live/typd/
天映經典,https://o11.163189.xyz/stream/live/ccm/stream_0.php?u=admin&p=69fe3eb1f0b037bc2479cb4fbd56551848343f071f939422ef250f04f68b4cee&uid=
天映經典,https://o11.163189.xyz/stream/live/ccm/
龍華電影,https://cdn8.163189.xyz/163189/lhdy
龍華經典台,https://cdn8.163189.xyz/163189/lhjd
龍華偶像,https://cdn8.163189.xyz/163189/lhox
龍華日韓台,https://cdn8.163189.xyz/163189/lhrh
龍華戲劇,https://cdn8.163189.xyz/163189/lhxj
